age,nb_payements,interest_rate,amount,target
20,30,0.025,4000,50.30263368594406
20,30,0.025,8000,100.60526737188812
20,40,0,500,12.996076477679653
20,40,0,1000,25.992152955359305
20,40,0,2000,51.98430591071861
20,40,0,4000,103.96861182143722
20,40,0,8000,207.93722364287444
20,40,0.005,500,10.782945405677568
20,40,0.005,1000,21.565890811355136
20,40,0.005,2000,43.13178162271027
20,40,0.005,4000,86.26356324542054
20,40,0.005,8000,172.52712649084108
20,40,0.01,500,8.976896531602199
20,40,0.01,1000,17.953793063204397
20,40,0.01,2000,35.907586126408795
20,40,0.01,4000,71.81517225281759
20,40,0.01,8000,143.63034450563518
20,40,0.015,500,7.5017498325753875
20,40,0.015,1000,15.003499665150775
20,40,0.015,2000,30.00699933030155
20,40,0.015,4000,60.0139986606031
20,40,0.015,8000,120.0279973212062
20,40,0.02,500,6.295652139640367
20,40,0.02,1000,12.591304279280735
20,40,0.02,2000,25.18260855856147
20,40,0.02,4000,50.36521711712294
20,40,0.02,8000,100.73043423424588
20,40,0.025,500,5.308378953360782
20,40,0.025,1000,10.616757906721563
20,40,0.025,2000,21.233515813443127
20,40,0.025,4000,42.46703162688625
20,40,0.025,8000,84.9340632537725
30,1,0,500,499.9948911821805
30,1,0,1000,999.989782364361
30,1,0,2000,1999.979564728722
30,1,0,4000,3999.959129457444
30,1,0,8000,7999.918258914888
30,1,0.005,500,395.85985171892236
30,1,0.005,1000,791.7197034378447
30,1,0.005,2000,1583.4394068756894
30,1,0.005,4000,3166.878813751379
30,1,0.005,8000,6333.757627502758
30,1,0.01,500,315.31208578751546
30,1,0.01,1000,630.6241715750309
30,1,0.01,2000,1261.2483431500618
30,1,0.01,4000,2522.4966863001237
30,1,0.01,8000,5044.993372600247
30,1,0.015,500,252.72346020741804
30,1,0.015,1000,505.4469204148361
30,1,0.015,2000,1010.8938408296722
30,1,0.015,4000,2021.7876816593443
30,1,0.015,8000,4043.5753633186887
30,1,0.02,500,203.8622711120369
30,1,0.02,1000,407.7245422240738
30,1,0.02,2000,815.4490844481476
30,1,0.02,4000,1630.8981688962951
30,1,0.02,8000,3261.7963377925903
30,1,0.025,500,165.53553864006014
30,1,0.025,1000,331.0710772801203
30,1,0.025,2000,662.1421545602406
30,1,0.025,4000,1324.284309120481
30,1,0.025,8000,2648.568618240962
30,5,0,500,100.24069483991232
30,5,0,1000,200.48138967982464
30,5,0,2000,400.9627793596493
30,5,0,4000,801.9255587192986
30,5,0,8000,1603.8511174385972
30,5,0.005,500,80.15598255588391
30,5,0.005,1000,160.31196511176782
30,5,0.005,2000,320.62393022353564
30,5,0.005,4000,641.2478604470713
30,5,0.005,8000,1282.4957208941426
30,5,0.01,500,64.47750462555852
30,5,0.01,1000,128.95500925111705
30,5,0.01,2000,257.9100185022341
30,5,0.01,4000,515.8200370044682
30,5,0.01,8000,1031.6400740089364
30,5,0.015,500,52.184791233337855
30,5,0.015,1000,104.36958246667571
