age,nb_payements,maturity,interest_rate,amount,target
20,5,20,0.01,8000,1305.6740857480977
20,5,20,0.015,500,74.65398909670067
20,5,20,0.015,1000,149.30797819340134
20,5,20,0.015,2000,298.6159563868027
20,5,20,0.015,4000,597.2319127736054
20,5,20,0.015,8000,1194.4638255472107
20,5,20,0.02,500,68.32194195443438
20,5,20,0.02,1000,136.64388390886876
20,5,20,0.02,2000,273.2877678177375
20,5,20,0.02,4000,546.575535635475
20,5,20,0.02,8000,1093.15107127095
20,5,20,0.025,500,62.551079067316145
20,5,20,0.025,1000,125.10215813463229
20,5,20,0.025,2000,250.20431626926458
20,5,20,0.025,4000,500.40863253852916
20,5,20,0.025,8000,1000.8172650770583
20,5,30,0,500,93.94259873819334
20,5,30,0,1000,187.88519747638668
20,5,30,0,2000,375.77039495277336
20,5,30,0,4000,751.5407899055467
20,5,30,0,8000,1503.0815798110934
20,5,30,0.005,500,81.69538215693377
20,5,30,0.005,1000,163.39076431386755
20,5,30,0.005,2000,326.7815286277351
20,5,30,0.005,4000,653.5630572554702
20,5,30,0.005,8000,1307.1261145109404
20,5,30,0.01,500,71.09058223288942
20,5,30,0.01,1000,142.18116446577883
20,5,30,0.01,2000,284.36232893155767
20,5,30,0.01,4000,568.7246578631153
20,5,30,0.01,8000,1137.4493157262307
20,5,30,0.015,500,61.901846431603666
20,5,30,0.015,1000,123.80369286320733
20,5,30,0.015,2000,247.60738572641466
20,5,30,0.015,4000,495.2147714528293
20,5,30,0.015,8000,990.4295429056586
20,5,30,0.02,500,53.93485201555385
20,5,30,0.02,1000,107.8697040311077
20,5,30,0.02,2000,215.7394080622154
20,5,30,0.02,4000,431.4788161244308
20,5,30,0.02,8000,862.9576322488616
20,5,30,0.025,500,47.02265635645421
20,5,30,0.025,1000,94.04531271290843
20,5,30,0.025,2000,188.09062542581685
20,5,30,0.025,4000,376.1812508516337
20,5,30,0.025,8000,752.3625017032674
20,5,40,0,500,86.65094473416562
20,5,40,0,1000,173.30188946833124
20,5,40,0,2000,346.6037789366625
20,5,40,0,4000,693.207557873325
20,5,40,0,8000,1386.41511574665
