age,nb_payements,maturity,interest_rate,amount,target
20,20,30,0.015,1000,2.702572620363215
20,20,30,0.015,2000,5.40514524072643
20,20,30,0.015,4000,10.81029048145286
20,20,30,0.015,8000,21.62058096290572
20,20,30,0.02,500,1.2859249286707244
20,20,30,0.02,1000,2.5718498573414488
20,20,30,0.02,2000,5.1436997146828976
20,20,30,0.02,4000,10.287399429365795
20,20,30,0.02,8000,20.57479885873159
20,20,30,0.025,500,1.225335832146024
20,20,30,0.025,1000,2.450671664292048
20,20,30,0.025,2000,4.901343328584096
20,20,30,0.025,4000,9.802686657168191
20,20,30,0.025,8000,19.605373314336383
20,20,40,0,500,3.418640544366715
20,20,40,0,1000,6.83728108873343
20,20,40,0,2000,13.67456217746686
20,20,40,0,4000,27.34912435493372
20,20,40,0,8000,54.69824870986744
20,20,40,0.005,500,3.10822603488986
20,20,40,0.005,1000,6.21645206977972
20,20,40,0.005,2000,12.43290413955944
20,20,40,0.005,4000,24.86580827911888
20,20,40,0.005,8000,49.73161655823776
20,20,40,0.01,500,2.8322205151364153
20,20,40,0.01,1000,5.6644410302728305
20,20,40,0.01,2000,11.328882060545661
20,20,40,0.01,4000,22.657764121091322
20,20,40,0.01,8000,45.315528242182644
20,20,40,0.015,500,2.586649310117031
20,20,40,0.015,1000,5.173298620234062
20,20,40,0.015,2000,10.346597240468125
20,20,40,0.015,4000,20.69319448093625
20,20,40,0.015,8000,41.3863889618725
20,20,40,0.02,500,2.3680089452522664
20,20,40,0.02,1000,4.736017890504533
20,20,40,0.02,2000,9.472035781009065
20,20,40,0.02,4000,18.94407156201813
20,20,40,0.02,8000,37.88814312403626
20,20,40,0.025,500,2.17321007971607
20,20,40,0.025,1000,4.34642015943214
20,20,40,0.025,2000,8.69284031886428
20,20,40,0.025,4000,17.38568063772856
20,20,40,0.025,8000,34.77136127545712
20,30,30,0,500,1.0636980576546704
20,30,30,0,1000,2.127396115309341
20,30,30,0,2000,4.254792230618682
